flat,school,school_dist,num_school_2km
25 SIN MING RD,Catholic High School (Primary),0.7527462448240563,9
225 LOR 8 TOA PAYOH,First Toa Payoh Primary School,0.09091820797578672,16
562 HOUGANG ST 51,Palm View Primary School,0.40022331917127485,20
27 TOA PAYOH EAST,Pei Chun Public School,0.5112802352692074,16
607 JURONG WEST ST 65,Frontier Primary School,0.14727335288736734,12
604 CHOA CHU KANG ST 62,De La Salle School,0.4169641755240295,7
51 CHAI CHEE ST,Damai Primary School,0.741539602613751,10
5 TOH YI DR,Pei Hwa Presbyterian Primary School,0.17690454033818492,3
127 BT MERAH LANE 1,Blangah Rise Primary School,1.1696857393748303,5
604 JURONG WEST ST 62,Jurong West Primary School,0.15529437790811026,12
428 ANG MO KIO AVE 3,Jing Shan Primary School,0.44389196012182397,11
238 CHOA CHU KANG CTRL,South View Primary School,0.3521358691271517,12
17 LOR 7 TOA PAYOH,Pei Chun Public School,0.14625683936105766,18
171 LOR 1 TOA PAYOH,CHIJ Primary (Toa Payoh),0.24579384494915177,14
642D PUNGGOL DR,Horizon Primary School,0.2840915328953781,16
854 YISHUN RING RD,Naval Base Primary School,0.158112122972214,12
770 WOODLANDS DR 60,Riverside Primary School,0.3503556023931986,16
824 JURONG WEST ST 81,West Grove Primary School,0.5971358705834906,10
244 COMPASSVALE RD,Compassvale Primary School,0.16795754614800107,25
120 POTONG PASIR AVE 1,St. Andrew's Junior School,0.4875233927995179,19
842 JURONG WEST ST 81,West Grove Primary School,0.6478300190421633,10
431A YISHUN AVE 1,Northland Primary School,0.7236257509528271,9
371 TAMPINES ST 34,East Spring Primary School,0.5957153213877053,19
102 ALJUNIED CRES,Geylang Methodist School (Primary),0.3541697983468338,8
608 CLEMENTI WEST ST 1,Clementi Primary School,1.244018150418553,6
192 BT BATOK WEST AVE 6,Yuhua Primary School,0.5130608706941489,11
675B JURONG WEST ST 64,Westwood Primary School,0.3803397133433471,15
504 BT BATOK ST 52,Lianhua Primary School,0.2676531374148083,9
224A COMPASSVALE WALK,Seng Kang Primary School,0.26407497323223106,24
39 BEDOK STH RD,Bedok Green Primary School,0.30618487121159393,10
240 BISHAN ST 22,Catholic High School (Primary),0.7219577480232373,13
75 WHAMPOA DR,Hong Wen School,0.3004466383113386,12
210B COMPASSVALE LANE,North Vista Primary School,0.462782434956481,24
152 YISHUN ST 11,Yishun Primary School,0.2698745410998793,14
921 JURONG WEST ST 92,Pioneer Primary School,0.13903004485757872,9
315 SERANGOON AVE 2,St. Gabriel's Primary School,0.5390596637101935,13
248 BT BATOK EAST AVE 5,Lianhua Primary School,0.5173452347143583,11
216B BOON LAY AVE,Corporation Primary School,0.5224514219698521,11
556 WOODLANDS DR 53,Woodlands Ring Primary School,0.2738002096671654,17
89 DAWSON RD,Queenstown Primary School,0.4717192768266286,4
704 CHOA CHU KANG ST 53,Kranji Primary School,0.388922657101263,12
133 SIMEI ST 1,Angsana Primary School,0.45200269621605943,20
944 TAMPINES AVE 5,Tampines Primary School,0.30335905755294923,25
145 PASIR RIS ST 11,White Sands Primary School,0.2586716364347467,17
527 WOODLANDS DR 14,Woodgrove Primary School,0.22569663419186728,17
868 YISHUN ST 81,Naval Base Primary School,0.31881994546970077,9
108B MCNAIR RD,Hong Wen School,0.2493164114159223,10
172B EDGEDALE PLAINS,Greendale Primary School,0.1024356299627501,19
317B ANCHORVALE RD,Springdale Primary School,0.17823497642994746,19
53 KENT RD,Farrer Park Primary School,0.48272556515894405,11
431D YISHUN AVE 1,Northland Primary School,0.6813294829310147,9
