flat,mrt,mrt_dist,num_mrt_2km
260 JURONG EAST ST 24,CHINESE GARDEN MRT STATION,0.8590678925901233,4
157D RIVERVALE CRES,BAKAU LRT STATION,0.27501087920407724,19
464 PASIR RIS ST 41,PASIR RIS MRT STATION,1.016004097121787,2
330 SERANGOON AVE 3,SERANGOON MRT STATION,0.3193748643976768,5
10 CHAI CHEE RD,BEDOK MRT STATION,0.6796700600981392,4
356B ADMIRALTY DR,SEMBAWANG MRT STATION,0.2982963096827615,2
469A SENGKANG WEST WAY,THANGGAM LRT STATION,0.3158134005500677,10
698B JURONG WEST CTRL 3,BOON LAY MRT STATION,0.27523609014221984,3
201 BOON LAY DR,LAKESIDE MRT STATION,0.629348991687179,3
25 SIN MING RD,MARYMOUNT MRT STATION,0.728072726210015,5
225 LOR 8 TOA PAYOH,BRADDELL MRT STATION,0.9909303728125294,8
562 HOUGANG ST 51,BUANGKOK MRT STATION,0.49268716212717684,14
27 TOA PAYOH EAST,TOA PAYOH MRT STATION,0.9871053279762313,7
607 JURONG WEST ST 65,PIONEER MRT STATION,0.26381763580398054,2
604 CHOA CHU KANG ST 62,YEW TEE MRT STATION,0.3148508684520502,4
51 CHAI CHEE ST,BEDOK NORTH MRT STATION,0.8037169370426279,5
5 TOH YI DR,BEAUTY WORLD MRT STATION,0.3644537947446837,2
127 BT MERAH LANE 1,QUEENSTOWN MRT STATION,1.089984968589997,6
604 JURONG WEST ST 62,PIONEER MRT STATION,0.32304336259510447,2
428 ANG MO KIO AVE 3,ANG MO KIO MRT STATION,0.5517844714154877,2
238 CHOA CHU KANG CTRL,KEAT HONG LRT STATION,0.11394649212053208,11
17 LOR 7 TOA PAYOH,TOA PAYOH MRT STATION,1.0973912631300413,9
171 LOR 1 TOA PAYOH,TOA PAYOH MRT STATION,0.5798194345248833,6
642D PUNGGOL DR,KADALOOR LRT STATION,0.11082479795995874,14
854 YISHUN RING RD,KHATIB MRT STATION,0.49982699303194417,2
770 WOODLANDS DR 60,ADMIRALTY MRT STATION,0.6969807804612563,4
824 JURONG WEST ST 81,PIONEER MRT STATION,1.038297944802878,2
244 COMPASSVALE RD,COMPASSVALE LRT STATION,0.215189317712069,23
120 POTONG PASIR AVE 1,POTONG PASIR MRT STATION,0.7742284956983382,10
842 JURONG WEST ST 81,PIONEER MRT STATION,0.8758672460111669,2
431A YISHUN AVE 1,KHATIB MRT STATION,1.6111698534514218,2
371 TAMPINES ST 34,TAMPINES EAST MRT STATION,0.4558260315124265,5
102 ALJUNIED CRES,ALJUNIED MRT STATION,0.45007118966062737,12
608 CLEMENTI WEST ST 1,CLEMENTI MRT STATION,1.181312667509769,2
192 BT BATOK WEST AVE 6,BUKIT BATOK MRT STATION,0.6559468188228922,5
675B JURONG WEST ST 64,BOON LAY MRT STATION,0.8364812196647436,3
504 BT BATOK ST 52,BUKIT BATOK MRT STATION,0.6821871626705764,3
224A COMPASSVALE WALK,RANGGUNG LRT STATION,0.41422583734424634,19
39 BEDOK STH RD,TANAH MERAH MRT STATION,0.9731388547563123,3
240 BISHAN ST 22,ANG MO KIO MRT STATION,1.1165871727454864,4
75 WHAMPOA DR,BOON KENG MRT STATION,0.6780048613764993,8
