SEARCHVAL,LATITUDE,LONGITUDE
VIVOCITY,1.264293168,103.8223047
UOB VIVOCITY,1.264270543,103.8224761
GOLDEN VILLAGE (GV VIVOCITY),1.264313825,103.8220734
MORIAH ASSEMBLY OF GOD,1.264274341,103.8225962
DBS VIVOCITY,1.264344587,103.8224761
UOB VIVO CITY BRANCH,1.264270543,103.8224761
539A BEDOK NORTH STREET 3 SINGAPORE 461539,1.332402306,103.9255006
OCBC BEDOK NORTH,1.332405066,103.9255013
COLD STORAGE JELITA SHOPPING CENTRE,1.31759343,103.7858406
COLD STORAGE JELITA,1.317545559,103.7858505
823 TAMPINES STREET 81 SINGAPORE 520823,1.348744945,103.9340247
VICTORIA MONTESSORI SCHOOLHOUSE PTE. LTD.,1.348732841,103.9340102
OCBC TAMPINES STREET 81 - PRIME SUPERMARKET,1.348732845,103.9340102
360 BALESTIER ROAD SINGAPORE 329783,1.325253018,103.8509958
DBS WESTGATE BR 1,1.33415752,103.7427665
UOB WESTGATE,1.33415752,103.7427665
OCBC WESTGATE,1.33415752,103.7427665
WESTGATE,1.334157676,103.7427665
JURONG EAST POST OFFICE,1.334025296,103.742586
MY FIRST SKOOL,1.334025295,103.742586
982 BUANGKOK CRESCENT SINGAPORE 530982,1.380850355,103.8793091
DBS BUANGKOK CRESCENT,1.380894989,103.8793232
DBS HOUGANG GREEN SHOPPING MALL,1.379317835,103.8878471
JUNIOR CHAMPS EDUCAMPUS PTE. LTD.,1.379245288,103.887832
OCBC HOUGANG GREEN SHOPPING MALL,1.379317835,103.8878471
HOUGANG GREEN SHOPPING MALL,1.379245291,103.887832
MONTE KIDZ WORLD (HOUGANG),1.379245288,103.887832
DBS SHOP N SAVE HOUGANG GREEN SHOPPING MALL,1.379317835,103.8878471
UOB HOUGANG GREEN SHOPPING MALL,1.379317835,103.8878471
KITCHENER COMPLEX,1.308327005,103.8620059
CITIBANK ADMIRALTY SMRT STATION,1.440569731,103.8010493
ADMIRALTY MRT STATION (NS10),1.440588562,103.8009905
OCBC ADMIRALTY MRT,1.440556099,103.800917
DBS ADMIRALTY MRT STATION,1.440569731,103.8010493
UOB ADMIRALTY MRT STATION,1.440569731,103.8010493
PCF SPARKLETOTS PRESCHOOL @ FENGSHAN 115 (CC),1.331433688,103.9368654
115 BEDOK NORTH ROAD SINGAPORE 460115,1.33143368,103.9368654
DBS GREENRIDGE SHOPPING CENTRE,1.385295565,103.7661705
UOB GREENRIDGE SHOPPING CENTRE,1.385405693,103.7662285
AMAZING STAR MONTESSORI HOUSE (GREENRIDGE),1.385295563,103.7661705
GREENRIDGE SHOPPING CENTRE,1.385405693,103.7662285
OCBC GREENRIDGE SHOPPING CENTRE,1.385405693,103.7662285
DBS NTUC MARINE PARADE CENTRAL,1.301419551,103.9071127
6 MARINE PARADE CENTRAL SINGAPORE 449411,1.301347148,103.9071836
OCBC MARINE PARADE CENTRAL - FAIRPRICE,1.30132311,103.907113
CASSIA AT PENJURU,1.318009806,103.7319489
OCBC HOUGANG MALL BRANCH,1.372483087,103.8937881
DBS HOUGANG MALL,1.372483087,103.8937881
CHENG SAN PUBLIC LIBRARY,1.372533156,103.8938835
HOUGANG CENTRAL POST OFFICE,1.372651672,103.8937463
HOUGANG MALL,1.372494938,103.8937756
SUNFLOWER PRESCHOOL @ HOUGANG (PTE. LTD.),1.372311864,103.8936616
UOB HOUGANG MALL,1.372483087,103.8937881
DBS NTUC HOUGANG MALL,1.372483087,103.8937881
GIANT,1.372101699,103.9319999
OCBC WOODLANDS AVE 3 - FAIRPRICE,1.432626035,103.7740512
DBS MARSILING MRT STATION,1.432626035,103.7740512
CITIBANK MARSILING SMRT STATION,1.432626035,103.7740512
MARSILING MRT STATION (NS8),1.432521149,103.7740746
DBS NTUC MARSILING MRT STATION,1.432626035,103.7740512
UOB MARSILING MRT STATION,1.432626035,103.7740512
MINDCHAMPS PRESCHOOL @ BUKIT TIMAH PTE. LIMITED,1.338796735,103.7932561
DBS THE GRANDSTAND,1.337593733,103.7937074
THE GRANDSTAND,1.338577187,103.7934057
THE EXPERIENTIAL LEARNING CENTRE PTE LTD,1.338796735,103.7932561
PEGASUS INTERNATIONAL PREESCHOOL,1.338994629,103.7931338
SUNFLOWER BABY HOUSE PTE. LTD.,1.338796735,103.7932561
SWALLOWS AND AMAZONS KINDERGARTEN,1.338796735,103.7932561
KIDDIWINKIE SCHOOLHOUSE @ GRANDSTAND PTE LTD,1.338796735,103.7932561
KIZROO KINDERGARTEN,1.338796735,103.7932561
32 TUAS VIEW SQUARE SINGAPORE 637778,1.298658064,103.6280881
IBIS STYLES SINGAPORE ON MACPHERSON,1.331723558,103.879538
DBS NTUC MACPHERSON MALL,1.331770545,103.8792945
MACPHERSON MALL,1.331770545,103.8792945
OCBC MACPHERSON MALL - FAIRPRICE,1.331770545,103.8792945
DBS ION ORCHARD,1.304098062,103.8315921
UOB ION ORCHARD,1.304730948,103.8314655
OCBC ION ORCHARD BRANCH,1.303992869,103.8319889
ORCHARD ROAD,1.304097858,103.8322519
CITIBANK ION ORCHARD,1.304191421,103.8315101
ION ORCHARD,1.303979741,103.8320323
OCBC ION ORCHARD,1.303992869,103.8319889
ORCHARD ROAD POST OFFICE,1.304035779,103.8313951
230 GEYLANG ROAD SINGAPORE 389290,1.312088177,103.8773887
DBS NTUC TECK WHYE LANE,1.380030583,103.7531184
140 TECK WHYE LANE SINGAPORE 680140,1.380018058,103.7531484
GRACELAND (CCK) PTE LTD,1.380030578,103.7531184
OCBC TECK WHYE LANE - FAIRPRICE,1.380030583,103.7531184
DBS NTUC SERANGOON CENTRAL,1.35367103,103.8707568
OCBC SERANGGON CENTRAL DRIVE - FAIRPRICE,1.353682695,103.8709133
253 SERANGOON CENTRAL DRIVE SINGAPORE 550253,1.354039398,103.8708515
OCBC HOUGANG CAPEVIEW - FAIRPRICE,1.377430067,103.9037129
DBS NTUC NEW UPPER SERANGOON VIEW,1.377433378,103.9037136
HOUGANG CAPEVIEW,1.377430067,103.9037129
UOB HOUGANG CAPEVIEW,1.377430067,103.9037129
MANDARIN GARDENS,1.307060757,103.9237698
DBS JURONG APARTMENTS,1.328820419,103.6771617
JURONG APARTMENTS,1.328886001,103.67713
CHANGI AIR BASE (EAST),1.327366021,104.0042442
ALOCASSIA APARTMENTS,1.31943646,103.8273473
THE STAR PERFORMING ART CENTRE,1.30684882,103.7882145
NEW CREATION CHURCH,1.306950824,103.7882873
OCBC THE STAR VISTA,1.306815007,103.7884627
DBS THE STAR VISTA,1.306815007,103.7884627
THE STAR,1.30687193,103.7884744
THE STAR VISTA,1.30697044,103.7884203
MARKET PLACE,1.366259352,103.9646456
LOYANG POINT,1.36645364,103.9645985
OCBC LOYANG POINT,1.36645364,103.9645985
DBS TAMPINES MART,1.35416724,103.9599359
AL - AMIN PRE-SCHOOL,1.354364936,103.9600422
FC/MARKET,1.354593929,103.9601535
TAMPINES MART,1.354480274,103.9600689
ALTEZ,1.274617941,103.8443196
DBS NTUC PUNGGOL PLAZA,1.394174473,103.91312
UOB PUNGGOL PLAZA,1.394256298,103.9130435
OCBC PUNGGOL PLAZA,1.394256298,103.9130435
OCBC PUNGGOL PLAZA - FAIRPRICE,1.394256298,103.9130435
PUNGGOL PLAZA,1.394237197,103.9130473
544 JURONG WEST STREET 42 SINGAPORE 640544,1.352393583,103.7157595
HSBC TAMPINES BRANCH,1.354204304,103.945052
DBS TAMPINES 1,1.354323212,103.9451412
TAMPINES ONE,1.35425638,103.9450717
OCBC TAMPINES 1,1.354315565,103.9450195
OCBC BUKIT MERAH CENTRAL - FAIRPRICE,1.283119499,103.8176429
DBS NTUC BUKIT MERAH CENTRAL,1.283098547,103.8176949
166 BUKIT MERAH CENTRAL SINGAPORE 150166,1.283092626,103.8176672
TANJONG PAGAR TOWN COUNCIL,1.283119499,103.8176429
HDB BUKIT MERAH BRANCH,1.283150928,103.8176897
UOB BUKIT MERAH CENTRAL,1.283056643,103.8176637
KEBUN BARU PALM VIEW,1.36754925,103.8367406
OCBC BUKIT TIMAH RD - FAIRPRICE,1.3238337,103.810002
DBS NTUC CORONATION SHOPPING PLAZA,1.3238337,103.810002
CORONATION SHOPPING PLAZA,1.323835122,103.8099996
HSBC BUKIT TIMAH BRANCH,1.323824765,103.8100164
OCBC BUKIT BATOK WEST AVE 8,1.347388255,103.7437047
154A BUKIT BATOK WEST AVENUE 8 SINGAPORE 651154,1.347371802,103.7436981
ANCHORVALE HARVEST,1.396849799,103.8892468
NEE SOON TOWN COUNCIL (NEE SOON SOUTH BRANCH),1.415998147,103.8350536
DBS YISHUN STREET 81,1.416079404,103.8350192
KAHTIB CENTRAL,1.416018805,103.8350008
EUNOS GROVE,1.332050946,103.9141451
OCBC BEDOK RESERVOIR RD - MCDONALDS,1.332050526,103.9141462
UOB BEDOK RESERVOIR ROAD,1.332050526,103.9141462
BOON KENG VILLE,1.31423937,103.870914
OCBC TAMPINES STREET 21,1.353435453,103.9530237
201B TAMPINES STREET 21 SINGAPORE 522201,1.353453158,103.9530099
LITTLE GREENHOUSE @ BUKIT BATOK PTE LTD,1.358946373,103.7503658
373 BUKIT BATOK STREET 31 SINGAPORE 650373,1.358924571,103.7503972
OCBC CLEMENTI AVENUE 2 -FAIRPRICE,1.31427266,103.7713609
DBS NTUC CLEMENTI AVENUE 2,1.31427266,103.7713609
CLEMENTI AVENUE 2 SHOPPING CENTRE,1.314278602,103.7713506
MARINE PARADE TOWN COUNCIL (SERANGOON OFFICE),1.353232128,103.8715036
266 SERANGOON CENTRAL DRIVE SINGAPORE 550266,1.35323213,103.8714724
OCBC LORONG LIMAU - FAIRPRICE,1.323720531,103.8557495
DBS NTUC LORONG LIMAU,1.323685611,103.8557911
80 LORONG LIMAU SINGAPORE 320080,1.323796071,103.8556706
SUNFLOWER PRESCHOOL @ BALESTIER PTE. LTD.,1.323796079,103.8556706
WATERWAY BANKS,1.40566048,103.9119913
309 HOUGANG AVENUE 5 SINGAPORE 530309,1.366205547,103.8951524
OCBC PAYA LEBAR SQUARE,1.31881487,103.8925808
UOB PAYA LEBAR SQUARE,1.31881487,103.8925808
PAYA LEBAR SQUARE,1.31881487,103.8925808
DBS PAYA LEBAR SQUARE,1.31881487,103.8925808
DBS NTUC WATERWAY POINT,1.406412835,103.9021889
SHAW THEATRES WATERWAY POINT,1.406536117,103.9019882
MY FIRST SKOOL,1.406409649,103.9021304
OCBC WATERWAY POINT - FAIRPRICE,1.406379336,103.9021722
OCBC WATERWAY POINT BRANCH,1.406386514,103.9021865
DBS WATERWAY POINT BRANCH,1.406382096,103.9022437
MAYBANK MAYBANK@WATERWAYPOINT,1.406388908,103.9021509
UOB PUNGGOL WATERWAY BRANCH,1.406439156,103.9021723
WATERWAY POINT,1.406484621,103.9021057
KATONG V,1.303850304,103.9028504
DBS NTUC KATONG V,1.303861208,103.9028714
VILLAGE HOTEL KATONG,1.30377937,103.9029122
418 YISHUN AVENUE 11 SINGAPORE 760418,1.424899319,103.8472498
BINJAI PARK,1.335862577,103.7866168
BINJAI PARK,1.335862577,103.7866168
BINJAI PARK,1.335862577,103.7866168
7 JURONG WEST AVENUE 5 SINGAPORE 649486,1.348784897,103.7034157
KHATIB CENTRAL,1.416960498,103.8353478
DBS NTUC YISHUN STREET 81,1.416959243,103.8353519
UOB YISHUN RING ROAD,1.416912101,103.8353363
MLC (YISHUN) PTE. LTD.,1.416983166,103.8352182
OCBC YISHUN RING ROAD - FAIRPRICE,1.416943528,103.8352843
OCBC YISHUN RING ROAD,1.416972242,103.8352938
GREENDALE COURT,1.331664767,103.8070338
ANSAR GARDEN,1.324760401,103.9243702
37 TEBAN GARDENS ROAD SINGAPORE 600037,1.320531436,103.7426522
DBS NTUC TEBAN GARDENS ROAD,1.320520268,103.7426515
OCBC TEBAN GARDENS ROAD - FAIRPRICE,1.320520268,103.7426515
UOB TEBAN GARDENS,1.320520268,103.7426515
962 JURONG WEST STREET 91 SINGAPORE 640962,1.342017841,103.6914831
J CONNECT,1.333825407,103.7396769
KLCII JURONG CAMPUS,1.333753439,103.7393714
DBS NTUC JURONG EAST STREET 13,1.333822942,103.739755
OCBC JURONG GATEWAY ROAD - FAIRPRICE,1.333851658,103.7398264
SATA COMMHEALTH JURONG MEDICAL CENTRE,1.333808577,103.7395518
BISHAN VIEW,1.34780072,103.8493161
OCBC GREENWICH V,1.387367695,103.869348
DBS GREENWICH MALL,1.387367695,103.869348
GREENWICH V,1.387395394,103.869136
MORIAH SCHOOLHOUSE LLP,1.387395384,103.869136
OPERA ESTATE,1.315749371,103.925857
OPERA ESTATE,1.315749372,103.925857
OPERA ESTATE,1.31577965,103.9259357
OPERA ESTATE,1.31577965,103.9259357
OPERA ESTATE,1.315797436,103.9259904
OPERA ESTATE,1.315797436,103.9259904
OPERA ESTATE,1.315807769,103.92605
OPERA ESTATE,1.315807769,103.92605
OPERA ESTATE,1.315824802,103.9261
OPERA ESTATE,1.315824802,103.9261
OPERA ESTATE,1.315843372,103.9261595
OPERA ESTATE,1.315843372,103.9261595
OPERA ESTATE,1.315859124,103.9262098
OPERA ESTATE,1.315859125,103.9262098
OPERA ESTATE,1.315905146,103.9262661
OPERA ESTATE,1.315905146,103.9262661
ENABLING VILLAGE,1.286956471,103.8147776
BLK D,1.286709701,103.8143903
BLK E,1.286402192,103.8143858
BLK F,1.286811923,103.8150726
OCBC LENGKOK BAHRU - FAIRPRICE,1.286785424,103.8146742
AWWA LTD.,1.286680272,103.8137663
BLK A,1.287366041,103.8148181
BLK B,1.287159899,103.8151578
BLK C,1.286958564,103.814601
BLK G,1.286420968,103.8138655
BLK H,1.286680267,103.8137663
BLK J,1.286209532,103.8139751
20 LENGKOK BAHRU SINGAPORE 159053,1.286861705,103.8139042
DBS SERANGOON GARDEN BRANCH,1.286832972,103.8146699
8 TELOK BLANGAH CRESCENT SINGAPORE 090008,1.277795391,103.8193413
KRANJI LODGE ONE,1.432017303,103.7598669
DBS KRANJI LODGE,1.430693598,103.7592373
SUNGEI KADUT INDUSTRIAL ESTATE,1.417572426,103.744217
OCBC TAMPINES STREET 11 - FAIRPRICE,1.348329155,103.9484307
DBS NTUC TAMPINES STREET 11,1.348371058,103.9481289
107 TAMPINES STREET 11 SINGAPORE 521107,1.348364218,103.9481587
SERANGOON GARDEN ESTATE,1.36428137,103.8651339
SERANGOON GARDEN ESTATE,1.36428137,103.8651339
ITALIAN SUPPLEMENTARY SCHOOL (EMBASSY OF ITALY),1.316990882,103.8438668
CONSULATE OF THE REPUBLIC OF VANUATU,1.317428008,103.8436708
EMBASSY OF THE FEDERATIVE REPUBLIC OF BRAZIL,1.317334632,103.8435977
EMBASSY OF THE REPUBLIC OF MALDIVES,1.317468165,103.8434679
UNITED SQUARE,1.31719451,103.8436114
UOB UNITED SQUARE,1.31724363,103.8440031
UOB UNITED SQUARE AUTOLOBBY,1.31724363,103.8440031
DBS UNITED SQUARE,1.31724363,103.8440031
GUG THE KINDERGARTEN,1.317334643,103.8434632
EMBASSY OF FINLAND,1.317178381,103.8437737
EMBASSY OF ITALY,1.317178383,103.8434839
ROYAL DANISH EMBASSY,1.317334632,103.8434632
DBS NTUC BISHAN STREET 24,1.35728843,103.8437901
OCBC BISHAN ST 24 - FAIRPRICE,1.357222831,103.8437853
279 BISHAN STREET 24 SINGAPORE 570279,1.357222831,103.8437853
CHANGI AIRPORT TERMINAL 3 BUILDING,1.356626094,103.9865622
CITIBANK CHANGI AIRPORT TERMINAL 3 DEPARTURE HALL TRANSIT LOUNGE SOUTH,1.355934169,103.9865674
DBS CHANGI AIRPORT TERMINAL 3 ARRIVAL MEETING HALL,1.354370741,103.9851696
DBS CHANGI AIRPORT TERMINAL 3 DEPARTURE TRANSIT HALL,1.354370741,103.9851696
UOB CHANGI AIRPORT TERMINAL 3 - ARRIVAL HALL NORTH,1.355889462,103.9858841
