flat,supermarket_dist,num_supermarket_2km
556 WOODLANDS DR 53,0.4006459559031197,12
89 DAWSON RD,0.2261053717156077,17
704 CHOA CHU KANG ST 53,0.3451265988911314,11
133 SIMEI ST 1,0.4431320329018233,15
944 TAMPINES AVE 5,0.3636698082623726,14
145 PASIR RIS ST 11,0.5414120209074679,12
527 WOODLANDS DR 14,0.19812508702750847,9
868 YISHUN ST 81,0.34997149264352767,12
108B MCNAIR RD,0.1859099297223685,29
172B EDGEDALE PLAINS,0.22530653830894892,14
317B ANCHORVALE RD,0.3395676169463709,16
53 KENT RD,0.32258495514832386,28
431D YISHUN AVE 1,0.5058735145910142,13
141 PETIR RD,0.5208960173558308,13
150 SILAT AVE,0.8303625820067275,21
2 HOUGANG AVE 3,0.10015848174098108,13
5 TELOK BLANGAH CRES,0.10356209745445363,18
119D RIVERVALE DR,0.18555890081833906,14
688C WOODLANDS DR 75,0.13424430342459473,18
424C YISHUN AVE 11,0.2790389923002646,15
490C CHOA CHU KANG AVE 5,0.34404667940118266,10
903 JURONG WEST ST 91,0.582996683588528,7
410 PANDAN GDNS,0.5580610055607992,14
502 JELAPANG RD,0.18609119845450928,11
683B CHOA CHU KANG CRES,0.7518373146412831,6
221 SIMEI ST 4,0.4078449081214051,16
596A ANG MO KIO ST 52,0.3376308471458956,13
303 CANBERRA RD,0.4169632200458894,12
714 CLEMENTI WEST ST 2,0.3072116459408543,9
30 JLN KLINIK,0.19417131850051578,24
746 PASIR RIS ST 71,0.1730286019197435,5
645 PASIR RIS DR 10,0.22041876353837567,5
803C KEAT HONG CL,0.441848579926345,12
740 PASIR RIS ST 71,0.20054502969831217,5
446A BT BATOK WEST AVE 8,0.4392343994101289,15
611 BT PANJANG RING RD,0.22733854691619282,12
40 SIMS DR,0.5512249378037662,28
492D TAMPINES ST 45,0.4083279147346534,17
431 ANG MO KIO AVE 10,0.3135914723003841,13
623 BEDOK RESERVOIR RD,0.22122961788756879,17
777 PASIR RIS ST 71,0.5283730016740007,5
816A KEAT HONG LINK,0.5147206280606358,15
179 TOA PAYOH CTRL,0.10555031385028761,21
91A TELOK BLANGAH ST 31,0.42084065852949326,11
176 WOODLANDS ST 13,0.4902253367701513,8
431 TAMPINES ST 41,0.278787958895801,19
457 YISHUN ST 41,0.4709654649677141,15
216B COMPASSVALE DR,0.4809402314624862,17
12 PINE CL,0.28481427023100947,25
434 ANG MO KIO AVE 10,0.2825128377867419,13
229 SIMEI ST 4,0.3464190225715768,17
609 YISHUN ST 61,0.40655234455569156,15
222 LOR 8 TOA PAYOH,0.22692063970537804,15
808C CHOA CHU KANG AVE 1,0.3262844029052994,14
195B PUNGGOL RD,0.2624295079785384,16
624 ANG MO KIO AVE 4,0.8116620604995413,9
869A TAMPINES AVE 8,0.23866376534948547,10
802 YISHUN RING RD,0.18615745941261017,14
961 JURONG WEST ST 92,0.10387020852178686,8
521 JURONG WEST ST 52,0.5368522852011467,11
369 WOODLANDS AVE 1,0.20119147378364857,11
322 ANG MO KIO AVE 3,0.14569141710935063,13
162 YUNG PING RD,0.26961726137446257,11
111 BT PURMEI RD,0.9290181980885103,18
220C BEDOK CTRL,0.24498948839533705,21
117 TECK WHYE LANE,0.15301436829324627,15
450E TAMPINES ST 42,0.3049034167096681,17
101A LOR 2 TOA PAYOH,0.7574443336398557,14
675 CHOA CHU KANG CRES,0.48655989157752394,7
47 MOH GUAN TER,0.2074248586188373,24
440 PASIR RIS DR 4,0.0,11
232 BAIN ST,0.30703438122192434,27
70C TELOK BLANGAH HTS,0.36369221458550677,14
411A FERNVALE RD,0.12340795153623692,12
563 HOUGANG ST 51,0.11272967176415369,19
157 JLN TECK WHYE,0.31740244842031706,17
928 JURONG WEST ST 92,0.27713639669374246,10
205C COMPASSVALE LANE,0.39069419425141666,16
689A WOODLANDS DR 75,0.2742681297289815,19
43 MOH GUAN TER,0.1954906947910909,24
531 BEDOK NTH ST 3,0.10838351692749851,20
291A COMPASSVALE ST,0.22781555532677056,19
50 CHAI CHEE ST,0.48498013722031036,21
107 BT PURMEI RD,0.7746502167209098,14
845 TAMPINES ST 83,0.32712418720945685,10
314 SERANGOON AVE 2,0.5888300740213761,14
538 WOODLANDS DR 16,0.21581927356664277,9
668 CHOA CHU KANG CRES,0.6274733059836294,7
836 HOUGANG CTRL,0.41500906437555635,18
13 TECK WHYE LANE,0.21031514551398406,17
166 TAMPINES ST 12,0.22883548419836916,18
607 HOUGANG AVE 4,0.33924100519732825,20
343 TAMPINES ST 33,0.2899574952832358,17
682C WOODLANDS DR 73,0.32817801720481404,18
14 BEDOK STH AVE 2,0.18651840068911996,19
981D BUANGKOK CRES,0.04409562672238894,19
174 WOODLANDS ST 13,0.41959512474058813,9
818 WOODLANDS ST 82,0.17115617863906207,14
708 CLEMENTI WEST ST 2,0.4006983907113963,9
658B PUNGGOL EAST,0.3434540255261345,10
886D WOODLANDS DR 50,0.11819182914698102,14
118 TECK WHYE LANE,0.177471718190103,15
213 MARSILING CRES,1.5378648121144747,2
801 YISHUN RING RD,0.12296184007783306,13
127C KIM TIAN RD,0.37235183374177966,23
735 YISHUN ST 72,0.4227392777974962,15
209 CHOA CHU KANG CTRL,0.4099726854909245,13
560 ANG MO KIO AVE 10,0.6139827785236017,13
14A UPP BOON KENG RD,0.11598548690847355,30
532 WOODLANDS DR 14,0.16412428141006927,9
104 RIVERVALE WALK,0.3432389554618485,15
132 SIMEI ST 1,0.47939410724620996,17
522 JURONG WEST ST 52,0.4706417705265591,11
30 TEBAN GDNS RD,0.17895524770374707,15
111B DEPOT RD,0.17362988336545984,13
172 HOUGANG AVE 1,0.3697269432370662,10
167 BISHAN ST 13,0.6392299792839301,15
552 CHOA CHU KANG ST 52,0.28466012589196316,8
41 TANGLIN HALT RD,0.4258933815508765,17
405 HOUGANG AVE 10,0.3440557451885754,14
28 NEW UPP CHANGI RD,0.36072252710934194,19
352 CLEMENTI AVE 2,0.0013215749580899412,17
325 SEMBAWANG CRES,0.4166173191056913,11
312 ANG MO KIO AVE 3,0.21295743699133016,16
354B ADMIRALTY DR,0.09458797357630613,13
707 PASIR RIS DR 10,0.2829844509679384,5
107A EDGEFIELD PLAINS,0.23730901429762497,17
388 BT BATOK WEST AVE 5,0.044340502581221936,14
430A FERNVALE LINK,0.3814351641476086,10
756 JURONG WEST ST 74,0.30572006933164,9
211 BT BATOK ST 21,0.31849440311376687,18
537 HOUGANG ST 52,0.2689787518912187,16
608 HOUGANG AVE 4,0.29215295764669785,20
620 CHOA CHU KANG ST 62,0.29737236015867136,6
853 HOUGANG CTRL,0.2762711005974692,16
213 BEDOK NTH ST 1,0.11520051534034177,21
690D CHOA CHU KANG CRES,0.8278685769922874,6
555 CHOA CHU KANG NTH 6,0.3168254039493129,5
718 TAMPINES ST 72,0.42689287469072024,12
497B TAMPINES ST 45,0.5427530941604429,18
425 HOUGANG AVE 6,0.10604597000928238,16
182 EDGEFIELD PLAINS,0.22421484201103511,15
216 BISHAN ST 23,0.6128611802623718,16
68 REDHILL CL,0.13926135772222273,17
326 HOUGANG AVE 7,0.43070980572261097,14
722 ANG MO KIO AVE 8,0.1048205184979369,12
175 BISHAN ST 13,0.4351382921540138,15
222 BT BATOK EAST AVE 3,0.3353359972979074,17
428 JURONG WEST AVE 1,0.18139121104999462,8
256A SUMANG WALK,0.14519420294588542,16
861 WOODLANDS ST 83,0.2811784376152973,15
274D PUNGGOL PL,0.09368672197993107,18
662 WOODLANDS RING RD,0.353276232074799,14
533 ANG MO KIO AVE 5,0.20214624621068047,12
229 CHOA CHU KANG CTRL,0.42473477836133217,14
456 PASIR RIS DR 4,0.32702596851549226,10
259 TAMPINES ST 21,0.38682567115579725,18
252 JURONG EAST ST 24,0.6946061769645642,17
353 ANG MO KIO ST 32,0.20954292868863672,17
201 TOA PAYOH NTH,0.4714830099111261,14
279 CHOA CHU KANG AVE 3,0.21316569834577956,12
61B STRATHMORE AVE,0.16047053455501595,19
126B EDGEDALE PLAINS,0.22790886138540764,13
702 YISHUN AVE 5,0.6176515477076985,14
2 HAIG RD,0.37825293780808084,22
135 BT BATOK WEST AVE 6,0.37620470271430995,19
57 JLN MA'MOR,0.4133455191544958,21
851 HOUGANG CTRL,0.18797081634238225,18
984D BUANGKOK LINK,0.24881558442681947,20
813B YISHUN RING RD,0.06804005429915727,13
260B ANG MO KIO ST 21,0.34248727930606304,11
732 WOODLANDS CIRCLE,0.252168965299681,15
180C BOON LAY DR,0.4733384543395466,10
276D JURONG WEST ST 25,0.5467169453452345,8
29 BALAM RD,0.16126816662196355,19
475D UPP SERANGOON CRES,0.44406862365286903,13
328 CLEMENTI AVE 2,0.21166743027144727,14
101 HENDERSON CRES,0.5331684801340988,23
108 LENGKONG TIGA,0.12883630162793738,18
989C JURONG WEST ST 93,0.29390128251491043,8
672 CHOA CHU KANG CRES,0.5848243229091168,7
317 HOUGANG AVE 7,0.17618436064803059,14
984A BUANGKOK LINK,0.2465596326103587,20
404 FAJAR RD,0.38961522179936836,11
107 JLN RAJAH,0.4633044785258943,21
5 MARINE TER,0.23623758914504714,10
205 BEDOK NTH ST 1,0.0978143382725323,22
779 YISHUN AVE 2,0.042144331697530624,15
43 TELOK BLANGAH RISE,0.6795960711173388,12
673A CHOA CHU KANG CRES,0.46308981543052535,7
120 SIMEI ST 1,0.24253186494658652,17
2C BOON TIONG RD,0.30596191648439564,26
619 JURONG WEST ST 65,0.2959570060932327,9
408 TAMPINES ST 41,0.32602645617425585,17
578 WOODLANDS DR 16,0.28821926766414596,11
267B COMPASSVALE LINK,0.14034491753368544,15
551 JURONG WEST ST 42,0.12929214102711928,10
178A RIVERVALE CRES,0.6788220515184947,15
244 SIMEI ST 5,0.20498091517091527,17
18B HOLLAND DR,0.23913123158275992,12
658C JURONG WEST ST 65,0.5459965035512266,8
366A SEMBAWANG CRES,0.6058487481923439,14
508B WELLINGTON CIRCLE,0.20326112526786083,12
441 ANG MO KIO AVE 10,0.1526390278391242,16
178C RIVERVALE CRES,0.6610540612490644,14
997C BUANGKOK CRES,0.5762722323450581,20
698C HOUGANG ST 52,0.29483023577407813,19
117 CLEMENTI ST 13,0.27786735360224507,14
150 BT BATOK ST 11,0.10977225357537372,20
194 BISHAN ST 13,0.20298826352233443,14
28 CASSIA CRES,0.1846946430790138,24
106 BEDOK RESERVOIR RD,0.6004095302324376,16
545 ANG MO KIO AVE 10,0.26507982328238794,14
988B BUANGKOK GREEN,0.2366822389540667,16
406 SIN MING AVE,0.5882460060934851,11
112 BEDOK RESERVOIR RD,0.48307446875443777,14
725 YISHUN ST 71,0.3318702586670372,15
326 SEMBAWANG CRES,0.3644361730973465,11
269B QUEEN ST,0.27991438482576403,27
190B RIVERVALE DR,0.31688783983766855,20
679B PUNGGOL DR,0.19008154866350715,16
705 YISHUN AVE 5,0.5839057576709037,14
518 WOODLANDS DR 14,0.39143493249676287,15
405 BT BATOK WEST AVE 7,0.5365635103600478,13
412 BEDOK NTH AVE 2,0.3131642784063047,21
117 YISHUN RING RD,0.7575005352012191,12
226 SIMEI ST 4,0.4442427874210976,16
145 TAMPINES ST 12,0.3844042114659186,18
49 STRATHMORE AVE,0.22404400637027816,12
